code	n	drug	search1	search2	search3	Psoriasis ONLY medication	Eczema OR psoriasis medication	INCLUDE_FINAL
1140865010	21	viscotears liquid eye gel						0
1140870570	21	vitamin b12 preparation						0
1140884696	21	clobetasone	1	1			y	1
1140862144	20	salmeterol						0
1140876076	20	flixonase 50micrograms aqueous nasal spray						0
1140882776	20	fucibet cream					y	1
1140888688	20	betahistine						0
1141153026	20	lercanidipine						0
1141157294	20	hydrocortisone product	1				y	1
1141166294	20	leflunomide						0
1141180212	20	escitalopram						0
1141200004	20	pregabalin						0
1189	20	co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10						0
1140871112	19	vitamin e product						0
1141168680	19	orlistat						0
1141168936	19	sildenafil						0
1141195836	19	dermol cream	1				y	1
1140861090	18	adalat 5mg capsule						0
1140865716	18	senna						0
1140870856	18	calcichew 1.25g chewable tablet						0
1140878328	18	hydromol cream					y	1
1140879774	18	alfuzosin						0
1140888510	18	verapamil						0
1141162764	18	tolterodine l-tartrate						0
1141180140	18	etoricoxib						0
1140861088	17	nifedipine						0
1140865426	17	cimetidine						0
1140868408	17	premarin 625micrograms tablet						0
1140869930	17	azathioprine					n	0
1140878350	17	carbo-dome cream						0
1140888366	17	thiamine preparation						0
1141157126	17	montelukast product						0
1140868170	16	prochlorperazine						0
1140870164	16	tamoxifen						0
1140874852	16	thyroxine sodium						0
1140879634	16	trazodone						0
1141145812	16	minerals - magnesium						0
1141181868	16	omacor 1g capsule						0
1195	16	vitamin c product						0
1140862476	15	beclazone 50 inhaler						0
1140862628	15	piriton 4mg tablet						0
1140876312	15	emulsifying ointment bp					y	1
1140878530	15	canesten 1% cream						0
1140879806	15	diltiazem						0
1140882852	15	locoid 0.1% cream	1				y	1
1140884654	15	beclomethasone					y	1
1140888176	15	mometasone furoate 0.1% ointment	1				y	1
1140923670	15	gtn - glyceryl trinitrate	1					0
1141171948	15	adcal 600mg chewable tablet	1					0
1141182632	15	spiriva 18micrograms inhalation capsule						0
1141188594	15	humira 40mg injection solution 0.8ml prefilled syringe	1			y		1
1141200322	15	solifenacin						0
1140861276	14	lacidipine						0
1140862168	14	bricanyl 250mcg inhaler						0
1140863202	14	temazepam						0
1140878510	14	alphosyl 2 in 1 shampoo	1			y		1
1140884308	14	hydroxychloroquine						0
1140927320	14	dermol 500 lotion	1				y	1
1141146606	14	calcium carbonate+cholecalciferol 1.25g/200iu tablet						0
1141168584	14	rabeprazole sodium						0
1141179846	14	protopic 0.03% ointment					y	1
1141182800	14	cerazette 75micrograms tablet						0
1197	14	evening primrose oil product						0
1140862572	13	budesonide						0
1140865578	13	mesalazine						0
1140865752	13	ispaghula husk						0
1140874686	13	glucophage 500mg tablet						0
1140875990	13	hypromellose						0
1140878248	13	oilatum emollient bath additive					y	1
1140883656	13	hydroxyzine						0
1140884412	13	sumatriptan						0
1141164086	13	salmeterol+fluticasone propionate						0
1141173348	13	hydroxocobalamin						0
1141177600	13	rosiglitazone						0
1141187810	13	tadalafil						0
1141195044	13	hydroxycarbamide						0
1140864286	12	flixotide 25micrograms inhaler						0
1140865668	12	sulphasalazine						0
1140865670	12	salazopyrin 500mg tablet						0
1140880264	12	ketoconazole 2% shampoo					y	1
1140922804	12	premique 0.625mg/5mg tablet						0
1140926592	12	estraderm mx 25 patch						0
1140929012	12	pantoprazole						0
1141156644	12	elleste duet conti tablet						0
1141167334	12	colofac-100 tablet						0
1140860840	11	nitrolingual 400micrograms spray						0
1140865396	11	buscopan 10mg tablet						0
1140865580	11	asacol 400mg e/c tablet						0
1140866116	11	frusemide						0
1140867876	11	prozac 20mg capsule						0
1140871266	11	arthrotec tablet						0
1140875420	11	baclofen						0
1140878442	11	dithrocream 0.1% cream	1			y		1
1140878504	11	polytar plus liquid	1			y		1
1140911736	11	ginseng product						0
1140916950	11	nizoral 20mg/ml shampoo					y	1
1140923402	11	co-amilofruse						0
1140923728	11	tacalcitol	1	1		y		1
1140927328	11	terbinafine						0
1141175684	11	risedronate sodium						0
1141176662	11	celecoxib						0
1141177532	11	nexium 20mg tablet						0
1141180036	11	fybogel orange s/f granules						0
1141181700	11	estradiol product						0
1141192740	11	ezetrol 10mg tablet						0
1140861832	10	tranexamic acid						0
1140867490	10	lithium product						0
1140869276	10	micronor tablet						0
1140871196	10	lodine 200mg tablet						0
1140871732	10	buprenorphine						0
1140872072	10	tegretol 100mg tablet						0
1140875486	10	colchicine						0
1140878308	10	aveeno cream						0
1140879430	10	domperidone						0
1140879818	10	metoprolol						0
1140882630	10	diprosone cream	1		1		y	1
1140883664	10	pizotifen						0
1140883828	10	polytar af liquid	1			y		1
1140909790	10	chlorphenamine						0
1140911658	10	imigran 50mg tablet						0
1140911680	10	starflower oil						0
1140923688	10	zoton 15mg capsule						0
1140926780	10	adizem-xl plus m/r capsule						0
1141151016	10	losartan potassium+hydrochlorothiazide 50mg/12.5mg tablet						0
1141157252	10	glyceryl trinitrate product	1					0
1141157486	10	salbutamol product						0
1141166006	10	telmisartan						0
1141168326	10	kliovance 1mg/0.5mg tablet						0
1141168554	10	migraleve tablet						0
1141172918	10	celluvisc 1% single-use eye drops						0
1141173872	10	cetraben cream					y	1
1141179974	10	cozaar 25mg tablet						0
1141184748	10	levocetirizine						0
1141194386	10	telfast 30 tablet						0
1141200564	10	duloxetine						0
1201	10	st john's wort/hypericum [ctsu]	1					0
2038459888	10	cyclosporin	1	1			y	1
1140861138	9	adizem-60 m/r tablet						0
1140861778	9	dipyridamole						0
1140868472	9	vagifem 25mcg pessary						0
1140872290	9	lamotrigine						0
1140878286	9	diprobase ointment					y	1
1140878426	9	polytar emollient bath additive	1				y	1
1140882756	9	timodine cream					y	1
1140909788	9	sodium cromoglicate						0
1140928916	9	olanzapine						0
1141151718	9	evorel conti patch						0
1141162824	9	detrusitol 1mg tablet						0
1141164276	9	nebivolol						0
1141168374	9	dermol 200 shower emollient	1				y	1
1141169844	9	dexamethasone+hypromellose 0.1%/0.5% eye drops						0
1141171496	9	trospium						0
1141172928	9	neoclarityn 5mg tablet						0
1141174388	9	calcitriol	1	1		y		1
2038459704	9	carbamazepine						0
1140861924	8	bezafibrate						0
1140861954	8	fenofibrate						0
1140862574	8	pulmicort ls 50micrograms inhaler						0
1140862776	8	clarityn 10mg tablet						0
1140864950	8	bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet						0
1140865016	8	zolpidem						0
1140865786	8	bisacodyl						0
1140868482	8	tibolone						0
1140869180	8	microgynon 30 tablet						0
1140870862	8	calcichew forte 2.5g chewable tablet						0
1140871168	8	voltarol 25mg e/c tablet						0
1140871188	8	etodolac						0
1140871472	8	naprosyn 250mg tablet						0
1140871692	8	morphine						0
1140872200	8	epilim 100mg crushable tablet						0
1140875336	8	nabumetone						0
1140878036	8	diclofenac sodium+misoprostol						0
1140878236	8	calmurid cream						0
1140879494	8	metoclopramide						0
1140879792	8	terbutaline						0
1140879854	8	sotalol						0
1140879866	8	timolol						0
1140879942	8	dithranol	1	1		y		1
1140882728	8	otomize ear spray						0
1140883468	8	clonidine						0
1140888644	8	emollient product					y	1
1140909936	8	indometacin						0
1140911638	8	kelp+garlic product						0
1140911682	8	selenium ace tablet						0
1140923336	8	co-tenidone						0
1140927086	8	arthrotec 50 tablet						0
1140928284	8	moxonidine						0
1141168752	8	peptac liquid						0
1141169520	8	cosopt 2%/0.5% eye drops						0
1141176668	8	celebrex 100mg capsule						0
1141188146	8	simvador 10mg tablet						0
1141192916	8	rino clenil 50micrograms nasal spray	1					0
1141200878	8	oilatum bath formula liquid bath additive					y	1
1205	8	saw palmetto product	1					0
1140862236	7	atrovent 20micrograms inhaler						0
1140865350	7	fybogel mebeverine sachet						0
1140865416	7	colpermin 0.2ml m/r gel e/c capsule						0
1140867504	7	priadel 200mg m/r tablet						0
1140868364	7	prednisone					y	1
1140871336	7	indomethacin						0
1140871542	7	mefenamic acid						0
1140878244	7	balneum bath oil					y	1
1140879404	7	docusate sodium						0
1140879620	7	clomipramine						0
1140880272	7	coal tar 4.3% shampoo	1			y		1
1140882542	7	fucidin cream					y	1
1140882946	7	livial 2.5mg tablet						0
1140883548	7	ipratropium						0
1140888502	7	amiodarone						0
1140888570	7	flecainide						0
1140888762	7	ismn - isosorbide mononitrate	1					0
1140910036	7	mtx - methotrexate	1				y	1
1140911730	7	flax oil tablet	1					0
1140916790	7	evorel 25 patch						0
1140921814	7	mirena 52mg intrauterine system						0
1140921822	7	mirena 20mcg/24hrs intrauterine system						0
1140921828	7	dicloflex 25mg e/c tablet						0
1140922562	7	femoston 1/10 tablet						0
1140923018	7	anastrozole						0
1140928274	7	ropinirole						0
1141150620	7	zolmitriptan						0
1141157458	7	hypromellose product						0
1141168574	7	raloxifene hydrochloride						0
1141168946	7	viagra 50mg tablet						0
1141180314	7	ibandronic acid						0
1141180392	7	cefalexin						0
1141180936	7	calcium carbonate+colecalciferol 1.25g/5micrograms tablet						0
1141185986	7	cetraben emollient cream					y	1
1141192000	7	dutasteride						0
1141192638	7	sebco ointment				y		1
1203	7	aloe vera product						0
1140857620	6	depo-provera 50mg/1ml injection						0
1140858452	6	hepacon b12 1mg/1ml injection						0
1140863182	6	nitrazepam						0
1140864196	6	climagest 1mg tablet						0
1140865336	6	spasmonal 60mg capsule						0
1140865734	6	liquid paraffin					y	1
1140866026	6	creon e/c granules in capsule						0
1140866280	6	bumetanide						0
1140870980	6	calcitriol product	1			y		1
1140871666	6	piroxicam						0
1140873394	6	doxycycline						0
1140873608	6	erythromycin						0
1140873966	6	trimethoprim						0
1140874336	6	ketoconazole					y	1
1140874370	6	aciclovir						0
1140878412	6	psoriderm cream	1		1	y		1
1140879906	6	coal tar+salicylic acid ointment bp	1			y		1
1140881474	6	normacol granules						0
1140882236	6	seroxat 20mg tablet						0
1140882394	6	paracetamol + codeine						0
1140882622	6	betamethasone+salicylic acid					y	1
1140882794	6	clobetasol propionate+neomycin sulphate+nystatin	1				y	1
1140883968	6	carmellose						0
1140909578	6	losec 10mg capsule						0
1140909844	6	ciclosporin	1	1			y	1
1140909874	6	vitamin b6 preparation						0
1140910832	6	sodium warfarin						0
1140923852	6	elleste-solo 1mg tablet						0
1140926988	6	bettamousse 0.12% foam	1				y	1
1141156846	6	amias 2mg tablet						0
1141157494	6	ispaghula husk product						0
1141164652	6	unguentum m cream					y	1
1141167038	6	rozex 0.75% cream						0
1141168684	6	xenical 120mg capsule						0
1141170844	6	liquid paraffin product					y	1
1141171336	6	eprosartan						0
1141172924	6	desloratadine						0
1141176670	6	celebrex 200mg capsule						0
1141185326	6	travatan 40micrograms/ml eye drops						0
1141188588	6	adalimumab	1	1		y		1
1141189464	6	exe-cort hydrocortisone 1% cream						0
1141192414	6	crestor 10mg tablet						0
1141193272	6	testogel 50mg gel 5g sachet						0
1141193282	6	olmesartan						0
1140851088	5	senokot 7.5mg tablet						0
1140852756	5	vitamin a						0
1140860976	5	imdur 60mg durule						0
1140861120	5	coracten sr 10mg m/r capsule						0
1140862722	5	nytol 25mg tablet						0
1140864734	5	combivent inhaler						0
1140867444	5	risperidone						0
1140867726	5	lofepramine						0
1140869034	5	ortho-gynest 500micrograms pessary						0
1140869036	5	ovestin 0.1% vaginal cream						0
1140869278	5	noriday tablet						0
1140869362	5	femulen tablet						0
1140871688	5	solpadol caplet						0
1140872492	5	nicotine product						0
1140872694	5	flucloxacillin						0
1140878488	5	t/gel shampoo					y	1
1140879782	5	indoramin						0
1140880014	5	salicylic acid	1		1		y	1
1140880102	5	dithranol 0.2% ointment bp	1			y		1
1140881446	5	proctosedyl ointment						0
1140881882	5	timoptol 0.25% eye drops						0
1140882742	5	efcortelan 0.5% cream						0
1140882778	5	lotriderm cream					y	1
1140882904	5	canesten hc cream					y	1
1140882908	5	hydrocortisone+miconazole					y	1
1140888142	5	metosyn 0.05% cream					y	1
1140888556	5	fosinopril						0
1140888758	5	penicillin v						0
1140910368	5	paraffin-white soft					y	1
1140910494	5	b12 - hydroxocobalamin prep						0
1140910698	5	oil of peppermint	1					0
1140916270	5	liquid paraffin+white soft paraffin 50%/50% ointment					y	1
1140917056	5	kliofem tablet						0
1140923022	5	arimidex 1mg tablet						0
1141146612	5	calceos chewable tablet						0
1141150750	5	brimonidine tartrate						0
1141168108	5	isotard 25xl m/r tablet						0
1141176570	5	fosamax 5mg tablet						0
1141178052	5	zapain caplet						0
1141180226	5	amoxicillin						0
1141181594	5	estriol product						0
1141188658	5	asacol mr 400mg e/c tablet						0
1141194224	5	allergy relief antihistamine 4mg tablet						0
1141195232	5	budesonide+formoterol						0
1141199858	5	cardioplen xl 5mg m/r tablet						0
1141200384	5	vesicare 5mg tablet						0
1140860790	4	enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet						0
1140860904	4	trandolapril						0
1140861166	4	dilzem sr 60mg long acting m/r capsule						0
1140862380	4	becloforte 250micrograms inhaler						0
1140862770	4	zirtek 10mg tablet						0
1140862944	4	carbocisteine						0
1140864966	4	salbutamol+ipratropium 100micrograms/20micrograms inhaler						0
1140865564	4	imodium 2mg capsule						0
1140865840	4	predfoam 20mg enema						0
1140867818	4	nortriptyline						0
1140868172	4	stemetil 5mg tablet						0
1140868372	4	climaval 1mg tablet						0
1140868458	4	hormonin tablet						0
1140868532	4	testosterone product						0
1140869324	4	loestrin 20 tablet						0
1140870196	4	zoladex 3.6mg implant						0
1140870932	4	ascorbic acid product						0
1140870956	4	alfacalcidol						0
1140871506	4	ketoprofen						0
1140871984	4	dixarit 25mcg tablet						0
1140872198	4	sodium valproate						0
1140873450	4	tetracycline						0
1140875392	4	plaquenil 200mg tablet						0
1140875596	4	algesal cream						0
1140876098	4	otrivine 0.1% nasal drops						0
1140877892	4	voltarol emulgel						0
1140878186	4	liquifilm tears 1.4% eye drops						0
1140878246	4	balneum plus bath oil					y	1
1140878450	4	dithrocream 2% cream	1			y		1
1140878734	4	corsodyl original mouthwash						0
1140879424	4	alverine						0
1140879628	4	dothiepin						0
1140880288	4	clotrimazole					y	1
1140880306	4	nizoral 2% cream					y	1
1140881414	4	gastrocote liquid						0
1140881448	4	scheriproct ointment						0
1140881702	4	adalate 10mg capsule						0
1140882374	4	co-amoxiclav						0
1140882464	4	daktarin 2% cream						0
1140882498	4	penicillin						0
1140882836	4	vioform hydrocortisone cream						0
1140883476	4	procyclidine						0
1140883500	4	azelastine						0
1140883524	4	cinnarizine						0
1140884676	4	fluocinolone						0
1140888184	4	mometasone furoate 0.1% lotion	1				y	1
1140888362	4	pyridoxine preparation						0
1140888512	4	amiloride						0
1140909780	4	colestyramine						0
1140910058	4	neutrogena dermatological cream	1				y	1
1140910498	4	flu - influenza vaccine	1					0
1140910512	4	ismo - isosorbide mononitrate	1					0
1140910548	4	iron sulphate	1					0
1140916980	4	zantac 75 tablet						0
1140917428	4	angitil sr 90 m/r capsule						0
1140923276	4	co-amilozide						0
1140925978	4	mycophenolate					y	1
1140926940	4	flomax mr 400micrograms m/r capsule						0
1140928004	4	zimovane ls 3.75mg tablet						0
1141152590	4	glimepiride						0
1141152848	4	quetiapine						0
1141157332	4	sumatriptan product						0
1141157418	4	budesonide product						0
1141165512	4	kapake capsule						0
1141166086	4	rennie duo oral suspension						0
1141171152	4	cardicor 1.25mg tablet						0
1141173328	4	ursodeoxycholic acid						0
1141176732	4	carbomers						0
1141178036	4	eltroxin 25micrograms tablet						0
1141179920	4	lumigan 0.3mg/ml eye drops						0
1141180342	4	beclometasone dipropionate+salbutamol						0
1141185316	4	travoprost						0
1141190158	4	cipralex 5mg tablet						0
1141201038	4	valsartan+hydrochlorothiazide 80mg/12.5mg tablet						0
1140857636	3	prempak 0.625 tablet						0
1140860532	3	minoxidil						0
1140860750	3	captopril						0
1140861202	3	istin 5mg tablet						0
1140862290	3	adrenaline product						0
1140862526	3	sodium cromoglycate						0
1140862640	3	tavegil 1mg tablet						0
1140863292	3	ucerax 25mg tablet						0
1140863302	3	lorazepam						0
1140863442	3	oxazepam						0
1140864472	3	xatral 2.5mg tablet						0
1140864952	3	lisinopril+hydrochlorothiazide 10mg/12.5mg tablet						0
1140865408	3	mebeverine hcl+ispaghula 135mg/3.5g/sachet granules						0
1140865414	3	peppermint oil product						0
1140865588	3	pentasa sr 250mg m/r tablet						0
1140865686	3	dulco-lax 5mg e/c tablet						0
1140868074	3	stugeron 15mg tablet						0
1140868080	3	cyclizine						0
1140868134	3	ondansetron						0
1140868426	3	triamcinolone						0
1140868580	3	norethisterone						0
1140870284	3	prostap sr 3.75mg injection (pdr for recon)+diluent+kit						0
1140870488	3	forceval capsule						0
1140870512	3	cyanocobalamin product						0
1140870556	3	slow-k 600mg m/r tablet						0
1140871374	3	brufen 200mg tablet						0
1140871684	3	remedeine tablet						0
1140872036	3	paramax tablet						0
1140872112	3	epanutin 25mg capsule						0
1140873564	3	oxytetramix 250 tablet						0
1140874126	3	nitrofurantoin						0
1140874718	3	glibenclamide						0
1140874866	3	carbimazole						0
1140875616	3	ibugel gel						0
1140875840	3	timolol 0.25% eye drops						0
1140876154	3	flunisolide						0
1140877630	3	calcium+ergocalciferol tablet						0
1140877890	3	transvasin cream						0
1140878280	3	ultrabase cream						0
1140878516	3	pentrax shampoo						0
1140879392	3	manevac granules						0
1140879476	3	laxative						0
1140879482	3	antacid tablet						0
1140879502	3	olsalazine						0
1140879630	3	imipramine						0
1140880056	3	sulphur product						0
1140880072	3	gamolenic acid						0
1140880140	3	zineryt topical solution						0
1140880208	3	azelaic acid						0
1140880466	3	amorolfine						0
1140881320	3	magnesium carbonate						0
1140882082	3	promethazine product						0
1140882272	3	oramorph 10mg/5ml oral solution						0
1140883030	3	pred forte 1% eye drops	1					0
1140883044	3	tri-adcortyl cream						0
1140883162	3	combined oral contraceptive product						0
1140883520	3	chlorpheniramine						0
1140883534	3	ephedrine						0
1140883706	3	nedocromil						0
1140888628	3	hydrocortistab 1% cream					y	1
1140909766	3	multivitamins capsule						0
1140910522	3	paraffin liquid					y	1
1140910640	3	luteine						0
1140911640	3	lecithin product						0
1140911698	3	slozem 120mg m/r capsule						0
1140916948	3	e45 lotion	1				y	1
1140917034	3	airomir 100micrograms cfc-free inhaler						0
1140917394	3	diclomax sr 75mg m/r capsule						0
1140922718	3	trusopt 2% ophthalmic solution						0
1140923348	3	co-proxamol						0
1140923572	3	adipine mr 10 m/r tablet						0
1140928878	3	zumenon 1mg tablet						0
1140928880	3	geltears gel						0
1141145638	3	nasobec aqueous 50micrograms nasal spray						0
1141146508	3	nasacort 55micrograms aqueous nasal spray						0
1141151848	3	emulsiderm emollient emulsion					y	1
1141152236	3	tazarotene	1	1		y		1
1141152242	3	zorac 0.05% aqueous gel	1			y		1
1141152860	3	seroquel 25mg tablet						0
1141153006	3	aprovel 75mg tablet						0
1141157178	3	senna product						0
1141157412	3	ibuprofen product						0
1141164060	3	pramipexole						0
1141164616	3	protium 20mg e/c tablet						0
1141167848	3	asasantin retard m/r capsule						0
1141167932	3	rizatriptan						0
1141168122	3	solpadol capsule						0
1141168322	3	plavix 75mg tablet						0
1141168590	3	pariet 10mg e/c tablet						0
1141168648	3	solpadeine tablet						0
1141171048	3	oxycontin 10mg m/r tablet						0
1141171932	3	levetiracetam						0
1141172492	3	micardis 20mg tablet						0
1141173342	3	folinic acid						0
1141174424	3	solaraze 3% gel						0
1141177606	3	avandia 4mg tablet						0
1141180150	3	arcoxia 90mg tablet						0
1141184726	3	xalacom 0.005%/0.5% eye drops						0
1141187818	3	cialis 20mg tablet						0
1141188210	3	berocca effervescent tablet						0
1141188512	3	non-drowsy sinutab tablet						0
1141188766	3	duac once daily gel						0
1141188836	3	felendil xl 5mg m/r tablet						0
1141191312	3	calfovit d3 powder for oral suspension						0
1141193170	3	eccoxolac 300mg capsule						0
1141193346	3	olmetec 10mg tablet						0
1141195280	3	novolizer budesonide 200micrograms/dose cartridge+inhaler						0
1141200108	3	cymalon cranberry 1.5g/5ml liquid						0
1141201244	3	eplerenone						0
1141201834	3	cymbalta 30mg gastro-resistant capsule						0
1140852766	2	vitamin a+d capsule						0
1140854076	2	macrogol ointment						0
1140856342	2	syndol tablet						0
1140857690	2	oestradiol 25mg implant 36 week						0
1140859220	2	fusidic acid					y	1
1140860358	2	tenif capsule						0
1140860418	2	propranolol hydrochloride+bendrofluazide 80mg/2.5mg capsule						0
1140860690	2	cardura 1mg tablet						0
1140860728	2	quinapril						0
1140861416	2	paroven 250mg capsule						0
1140861588	2	enoxaparin						0
1140861884	2	maxepa 1g capsule						0
1140861936	2	questran 4g/sachet powder						0
1140861970	2	lipostat 10mg tablet						0
1140861996	2	salbulin 100micrograms inhaler						0
1140862026	2	ciprofibrate						0
1140862060	2	ventolin 2mg tablet						0
1140862810	2	phenergan 10mg tablet						0
1140863286	2	atarax 10mg tablet						0
1140865370	2	topal tablet						0
1140865382	2	merbentyl 10mg tablet						0
1140865418	2	mintec 0.2ml e/c capsule						0
1140865576	2	cholestyramine						0
1140865762	2	regulan 3.6g/sachet powder						0
1140866420	2	moduretic tablet						0
1140866466	2	securon 40mg tablet						0
1140867168	2	haloperidol						0
1140867456	2	modecate 12.5mg/0.5ml oily injection						0
1140867756	2	trimipramine						0
1140867948	2	amitriptyline hydrochloride+perphenazine 10mg/2mg tablet						0
1140867952	2	fluanxol 500micrograms tablet						0
1140867998	2	motilium 10mg tablet						0
1140868192	2	buccastem 3mg tablet						0
1140868406	2	conjugated oestrogens						0
1140868456	2	oestradiol product						0
1140868514	2	trisequens tablet						0
1140868538	2	sustanon 100 oily injection						0
1140868816	2	desmopressin						0
1140869176	2	logynon tablet						0
1140869262	2	ovysmen tablet						0
1140870486	2	folicin tablet						0
1140870504	2	hydroxocobalamin product						0
1140871052	2	calcium carbonate+cholecalciferol 1.25g/5micrograms tablet						0
